title,total headline views,total page views,CTR,author
"<a href=""https://www.spectator.co.uk/article/watch-dawn-butler-kicked-out-of-the-commons"">Watch: Dawn Butler kicked out of the Commons</a>",22.0,3.0,13.636363636363635,Steerpike
"<a href=""https://www.spectator.co.uk/article/the-marcus-rashford-mural-an-anatomy-of-a-moral-panic"">The Marcus Rashford mural – an anatomy of a moral panic</a>",45.0,2.0,4.444444444444445,Steerpike
"<a href=""https://www.spectator.co.uk/article/gove-addresses-westminster-rumours"">Gove addresses Westminster rumours</a>",17.0,2.0,11.76470588235294,Steerpike
"<a href=""https://www.spectator.co.uk/article/tory-conference-to-have-vaccine-passports"">Tory conference to require vaccine passports</a>",18.0,2.0,11.11111111111111,Steerpike
"<a href=""https://www.spectator.co.uk/article/elder-corbyn-crashes-younger-corbyn-s-protest"">Corbyn crashes Corbyn's protest</a>",12.0,2.0,16.666666666666664,Steerpike
"<a href=""https://www.spectator.co.uk/article/watch-jacob-rees-mogg-raps-john-barnes"">Watch: Jacob Rees-Mogg raps John Barnes</a>",1.0,1.0,100.0,Steerpike
"<a href=""https://www.spectator.co.uk/article/watch-claudia-webbe-stumped-by-her-own-question"">Watch: Claudia Webbe stumped by her own question</a>",1.0,1.0,100.0,Steerpike
"<a href=""https://www.spectator.co.uk/article/watch-labour-s-naz-shah-hints-at-blasphemy-law"">Watch: Labour's Naz Shah hints at blasphemy law</a>",1.0,1.0,100.0,Steerpike
"<a href=""https://www.spectator.co.uk/article/watch-penny-mordaunt-mauls-delusional-and-divisive-snp"">Watch: Penny Mordaunt mauls 'delusional and divisive' SNP</a>",7.0,1.0,14.285714285714285,Steerpike
"<a href=""https://www.spectator.co.uk/article/will-peta-be-given-a-veto-on-all-uk-policy-"">Will Peta be given a veto on all UK policy?</a>",11.0,1.0,9.090909090909092,Steerpike
"<a href=""https://www.spectator.co.uk/article/the-snp-s-dornan-double-dealing-exposed"">The SNP's Dornan double-dealing exposed</a>",5.0,1.0,20.0,Steerpike
"<a href=""https://www.spectator.co.uk/article/dom-cummings-urges-britney-to-"">Dom Cummings urges Britney to take back control</a>",43.0,1.0,2.3255813953488373,Steerpike
"<a href=""https://www.spectator.co.uk/article/did-dom-cummings-save-the-queen-"">Did Dom Cummings save the Queen?</a>",10.0,1.0,10.0,Steerpike
"<a href=""https://www.spectator.co.uk/article/coming-soon-red-wall-by-election"">Coming soon: red wall by-election</a>",29.0,1.0,3.4482758620689653,Steerpike
"<a href=""https://www.spectator.co.uk/article/is-tony-blair-on-the-verge-of-a-comeback-"">Is Tony Blair on the verge of a comeback?</a>",8.0,1.0,12.5,Steerpike
"<a href=""https://www.spectator.co.uk/article/sixty-highlights-from-sixty-years-of-pmqs"">Sixty highlights from sixty years of PMQs</a>",14.0,1.0,7.142857142857142,Steerpike
"<a href=""https://www.spectator.co.uk/article/self-isolation-stats-delayed-as-statisticians-forced-to-isolate"">Isolation stats delayed as statisticians forced to isolate</a>",7.0,1.0,14.285714285714285,Steerpike
"<a href=""https://www.spectator.co.uk/article/the-four-best-dom-bombs-from-his-bbc-interview"">The four best 'Dom bombs' from his BBC interview</a>",13.0,1.0,7.6923076923076925,Steerpike
"<a href=""https://www.spectator.co.uk/article/the-eu-astrazeneca-row-a-complete-timeline"">The EU-AstraZeneca row: a complete timeline</a>",29.0,1.0,3.4482758620689653,Steerpike
"<a href=""https://www.spectator.co.uk/article/the-curious-case-of-kate-osborne-s-wikipedia"">The curious case of Kate Osborne's Wikipedia</a>",5.0,1.0,20.0,Steerpike
"<a href=""https://www.spectator.co.uk/article/labour-councillor-tells-tory-go-back-to-new-york-"">Labour councillor tells Tory: 'Go back to New York!'</a>",17.0,1.0,5.88235294117647,Steerpike
"<a href=""https://www.spectator.co.uk/article/lords-bombard-flagship-animal-sentience-bill"">Lords bombard flagship Animal Sentience Bill</a>",1.0,1.0,100.0,Steerpike
"<a href=""https://www.spectator.co.uk/article/rees-mogg-s-mask-jibe-at-boris"">Rees-Mogg's mask slips on face coverings</a>",1.0,1.0,100.0,Steerpike
