title,total headline views,total page views,CTR,author
"<a href=""https://www.spectator.co.uk/article/are-our-local-authorities-capable-of-protecting-children-"">Are our local authorities capable of protecting children?</a>",29.0,1.0,3.4482758620689653,Andrew Tettenborn
"<a href=""https://www.spectator.co.uk/article/can-alex-cole-hamilton-prevent-the-death-of-the-scottish-lib-dems-"">Can Alex Cole-Hamilton prevent the death of the Scottish Lib Dems?</a>",52.0,1.0,1.9230769230769231,Stephen Daisley
"<a href=""https://www.spectator.co.uk/article/we-need-to-act-now-to-save-the-army-s-afghan-interpreters"">We need to act now to save the army's Afghan interpreters</a>",113.0,1.0,0.8849557522123894,Simon Diggins
"<a href=""https://www.spectator.co.uk/article/david-ward-plots-another-comeback"">David Ward plots another comeback</a>",1.0,1.0,100.0,Steerpike
"<a href=""https://www.spectator.co.uk/article/the-uks-immigration-figures-are-a-fantasy"">The UK’s immigration figures are a fantasy</a>",4.0,1.0,25.0,Lionel Shriver
"<a href=""https://www.spectator.co.uk/article/does-a-man-have-a-right-to-pay-for-sex-"">Does a man have a right to pay for sex?</a>",21.0,1.0,4.761904761904762,Julie Bindel
"<a href=""https://www.spectator.co.uk/article/feminists-should-fear-the-snp-s-hate-crime-bill"">Feminists should fear the SNP's hate crime bill</a>",2.0,1.0,50.0,Meghan Murphy
"<a href=""https://www.spectator.co.uk/article/the-strange-theatre-of-mask-wearing"">The strange theatre of mask-wearing</a>",1.0,1.0,100.0,Lionel Shriver
"<a href=""https://www.spectator.co.uk/article/macron-s-war-on-covid-meets-resistance"">Macron's war on Covid meets resistance</a>",7.0,1.0,14.285714285714285,Gavin Mortimer
"<a href=""https://www.spectator.co.uk/article/how-australia-was-caught-in-lockdown-limbo"">How Australia was caught in lockdown limbo</a>",3.0,1.0,33.33333333333333,Terry Barnes
"<a href=""https://www.spectator.co.uk/article/the-court-judgement-that-confirms-women-pay-for-trans-rights"">The court judgement that confirms women pay for trans rights</a>",1.0,1.0,100.0,James Kirkup
"<a href=""https://www.spectator.co.uk/article/how-to-write-a-proper-propaganda-song"">One Britain One Nation: How to write a proper propaganda song</a>",6.0,1.0,16.666666666666664,Cindy Yu
"<a href=""https://www.spectator.co.uk/article/scotland-needs-the-union-to-reach-net-zero"">Scotland needs the Union to reach net zero</a>",160.0,1.0,0.625,John Ferry
"<a href=""https://www.spectator.co.uk/article/it-s-time-for-rishi-sunak-to-stand-up-to-boris-johnson"">It's time for Rishi Sunak to stand up to Boris Johnson</a>",1.0,1.0,100.0,Patrick O'Flynn
"<a href=""https://www.spectator.co.uk/article/pmqs-the-snp-take-on-free-trade"">PMQs: Ian Blackford's trade rage</a>",1.0,1.0,100.0,Lloyd Evans
"<a href=""https://www.spectator.co.uk/article/olympics-organisers-could-regret-banning-taking-the-knee-"">Olympics' organisers could regret banning 'taking the knee'</a>",1.0,1.0,100.0,Philip Patrick
